query,runtime (ms),db,engine
"SELECT DIRECTORalias0.BIRTH_CITY FROM DIRECTOR AS DIRECTORalias0 WHERE DIRECTORalias0.NAME = ""director_name0"" ;",224.09391403198242,imdb,mysql
"SELECT PRODUCERalias0.BIRTH_CITY FROM PRODUCER AS PRODUCERalias0 WHERE PRODUCERalias0.NAME = ""producer_name0"" ;",388.2722854614258,imdb,mysql
"SELECT ACTORalias0.BIRTH_CITY FROM ACTOR AS ACTORalias0 WHERE ACTORalias0.NAME = ""actor_name0"" ;",873.8691806793213,imdb,mysql
"SELECT WRITERalias0.NATIONALITY FROM WRITER AS WRITERalias0 WHERE WRITERalias0.NAME = ""Kevin Spacey"" ;",292.0970916748047,imdb,mysql
"SELECT DIRECTORalias0.NATIONALITY FROM DIRECTOR AS DIRECTORalias0 WHERE DIRECTORalias0.NAME = ""director_name0"" ;",223.2041358947754,imdb,mysql
"SELECT PRODUCERalias0.NATIONALITY FROM PRODUCER AS PRODUCERalias0 WHERE PRODUCERalias0.NAME = ""producer_name0"" ;",369.7030544281006,imdb,mysql
"SELECT ACTORalias0.NATIONALITY FROM ACTOR AS ACTORalias0 WHERE ACTORalias0.NAME = ""actor_name0"" ;",859.079122543335,imdb,mysql
"SELECT MOVIEalias0.BUDGET FROM MOVIE AS MOVIEalias0 WHERE MOVIEalias0.TITLE = ""Finding Nemo"" ;",436.9170665740967,imdb,mysql
"SELECT MOVIEalias0.TITLE FROM DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 WHERE DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND DIRECTORalias0.NAME = ""Steven Spielberg"" AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID AND MOVIEalias0.RELEASE_YEAR > 2006 ;",1668.820858001709,imdb,mysql
"SELECT DIRECTORalias0.NAME FROM DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 WHERE DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID AND MOVIEalias0.TITLE = ""James Bond"" ;",11478.403806686401,imdb,mysql
"SELECT ACTORalias0.NAME FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , MOVIE AS MOVIEalias0 WHERE CASTalias0.AID = ACTORalias0.AID AND CASTalias0.ROLE = ""Alan Turing"" AND MOVIEalias0.MID = CASTalias0.MSID AND MOVIEalias0.TITLE = ""The Imitation Game"" ;",4065.87815284729,imdb,mysql
"SELECT GENREalias0.GENRE FROM CLASSIFICATION AS CLASSIFICATIONalias0 , GENRE AS GENREalias0 , MOVIE AS MOVIEalias0 WHERE GENREalias0.GID = CLASSIFICATIONalias0.GID AND MOVIEalias0.MID = CLASSIFICATIONalias0.MSID AND MOVIEalias0.TITLE = ""Jurassic Park"" ;",3520.595073699951,imdb,mysql
"SELECT DIRECTORalias0.NAME FROM DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 WHERE DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID AND MOVIEalias0.RELEASE_YEAR = 2015 AND MOVIEalias0.TITLE = ""Joy"" ;",11580.015182495117,imdb,mysql
"SELECT MOVIEalias0.TITLE FROM MOVIE AS MOVIEalias0 , WRITER AS WRITERalias0 , WRITTEN_BY AS WRITTEN_BYalias0 WHERE WRITERalias0.NAME = ""Matt Damon"" AND WRITTEN_BYalias0.MSID = MOVIEalias0.MID AND WRITTEN_BYalias0.WID = WRITERalias0.WID ;",1603.909969329834,imdb,mysql
"SELECT MOVIEalias0.TITLE FROM MADE_BY AS MADE_BYalias0 , MOVIE AS MOVIEalias0 , PRODUCER AS PRODUCERalias0 , WRITER AS WRITERalias0 , WRITTEN_BY AS WRITTEN_BYalias0 WHERE MOVIEalias0.MID = MADE_BYalias0.MSID AND PRODUCERalias0.NAME = ""Woody Allen"" AND PRODUCERalias0.PID = MADE_BYalias0.PID AND WRITERalias0.NAME = ""Woody Allen"" AND WRITTEN_BYalias0.MSID = MOVIEalias0.MID AND WRITTEN_BYalias0.WID = WRITERalias0.WID ;",2851.809024810791,imdb,mysql
"SELECT MOVIEalias0.TITLE FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , MOVIE AS MOVIEalias0 WHERE ACTORalias0.NAME = ""Robin Wright"" AND CASTalias0.AID = ACTORalias0.AID AND MOVIEalias0.MID = CASTalias0.MSID ;",38650.61902999878,imdb,mysql
"SELECT MOVIEalias0.BUDGET FROM MOVIE AS MOVIEalias0 WHERE MOVIEalias0.RELEASE_YEAR = 2007 AND MOVIEalias0.TITLE = ""Juno"" ;",326.4892101287842,imdb,mysql
"SELECT MOVIEalias0.TITLE FROM CLASSIFICATION AS CLASSIFICATIONalias0 , GENRE AS GENREalias0 , MOVIE AS MOVIEalias0 WHERE GENREalias0.GENRE = ""Sci-Fi"" AND GENREalias0.GID = CLASSIFICATIONalias0.GID AND MOVIEalias0.MID = CLASSIFICATIONalias0.MSID AND MOVIEalias0.RELEASE_YEAR = 2010 ;",559.8137378692627,imdb,mysql
"SELECT ACTORalias0.NAME FROM ACTOR AS ACTORalias0 WHERE ACTORalias0.BIRTH_CITY = ""Austin"" AND ACTORalias0.BIRTH_YEAR > 1980 ;",725.3661155700684,imdb,mysql
"SELECT MOVIEalias0.TITLE FROM DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 WHERE DIRECTORalias0.BIRTH_CITY = ""Los Angeles"" AND DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID ;",1461.463212966919,imdb,mysql
"SELECT COMPANYalias0.NAME FROM COMPANY AS COMPANYalias0 , COPYRIGHT AS COPYRIGHTalias0 , MOVIE AS MOVIEalias0 WHERE COPYRIGHTalias0.CID = COMPANYalias0.ID AND MOVIEalias0.MID = COPYRIGHTalias0.MSID AND MOVIEalias0.TITLE = ""Juno"" ;",2693.305015563965,imdb,mysql
"SELECT MOVIEalias0.TITLE FROM COMPANY AS COMPANYalias0 , COPYRIGHT AS COPYRIGHTalias0 , MOVIE AS MOVIEalias0 WHERE COMPANYalias0.NAME = ""Netflix"" AND COPYRIGHTalias0.CID = COMPANYalias0.ID AND MOVIEalias0.MID = COPYRIGHTalias0.MSID ;",1239.5401000976562,imdb,mysql
"SELECT ACTORalias0.NAME FROM ACTOR AS ACTORalias0 WHERE ACTORalias0.BIRTH_CITY = ""New York City"" AND ACTORalias0.BIRTH_YEAR = 1984 ;",745.9681034088135,imdb,mysql
"SELECT MOVIEalias0.TITLE FROM KEYWORD AS KEYWORDalias0 , MOVIE AS MOVIEalias0 , TAGS AS TAGSalias0 WHERE KEYWORDalias0.KEYWORD = ""nuclear weapons"" AND TAGSalias0.KID = KEYWORDalias0.ID AND TAGSalias0.MSID = MOVIEalias0.MID ;",59.480905532836914,imdb,mysql
"SELECT MOVIEalias0.TITLE FROM COMPANY AS COMPANYalias0 , COPYRIGHT AS COPYRIGHTalias0 , MOVIE AS MOVIEalias0 WHERE COMPANYalias0.NAME = ""company_name0"" AND COPYRIGHTalias0.CID = COMPANYalias0.ID AND MOVIEalias0.MID = COPYRIGHTalias0.MSID AND MOVIEalias0.RELEASE_YEAR > 2010 ;",819.3690776824951,imdb,mysql
"SELECT MOVIEalias0.TITLE FROM MADE_BY AS MADE_BYalias0 , MOVIE AS MOVIEalias0 , PRODUCER AS PRODUCERalias0 WHERE MOVIEalias0.MID = MADE_BYalias0.MSID AND MOVIEalias0.RELEASE_YEAR > 2010 AND PRODUCERalias0.NAME = ""Walt Disney"" AND PRODUCERalias0.PID = MADE_BYalias0.PID ;",1938.3819103240967,imdb,mysql
"SELECT MOVIEalias0.TITLE FROM DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 WHERE DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND DIRECTORalias0.NAME = ""Alfred Hitchcock"" AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID ;",1458.6191177368164,imdb,mysql
"SELECT MOVIEalias0.TITLE FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 WHERE ACTORalias0.NAME = ""Taraneh Alidoosti"" AND CASTalias0.AID = ACTORalias0.AID AND DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND DIRECTORalias0.NAME = ""Asghar Farhadi"" AND MOVIEalias0.MID = CASTalias0.MSID AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID ;",3226.149082183838,imdb,mysql
"SELECT TV_SERIESalias0.TITLE FROM MADE_BY AS MADE_BYalias0 , PRODUCER AS PRODUCERalias0 , TV_SERIES AS TV_SERIESalias0 WHERE PRODUCERalias0.NAME = ""Shonda Rhimes"" AND PRODUCERalias0.PID = MADE_BYalias0.PID AND TV_SERIESalias0.SID = MADE_BYalias0.MSID ;",7442.362070083618,imdb,mysql
"SELECT ACTORalias0.NAME FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , TV_SERIES AS TV_SERIESalias0 WHERE CASTalias0.AID = ACTORalias0.AID AND CASTalias0.ROLE = ""Olivia Pope"" AND TV_SERIESalias0.SID = CASTalias0.MSID AND TV_SERIESalias0.TITLE = ""Scandal"" ;",3267.9409980773926,imdb,mysql
"SELECT WRITERalias0.NAME FROM MOVIE AS MOVIEalias0 , WRITER AS WRITERalias0 , WRITTEN_BY AS WRITTEN_BYalias0 WHERE MOVIEalias0.TITLE = ""The Truman Show"" AND WRITTEN_BYalias0.MSID = MOVIEalias0.MID AND WRITTEN_BYalias0.WID = WRITERalias0.WID ;",4954.388856887817,imdb,mysql
"SELECT TV_SERIESalias0.TITLE FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , TV_SERIES AS TV_SERIESalias0 WHERE ACTORalias0.NAME = ""Scott Foley"" AND CASTalias0.AID = ACTORalias0.AID AND TV_SERIESalias0.SID = CASTalias0.MSID ;",11134.08613204956,imdb,mysql
"SELECT DIRECTORalias0.NAME FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 WHERE ACTORalias0.NAME = ""Kate Winslet"" AND CASTalias0.AID = ACTORalias0.AID AND DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND MOVIEalias0.MID = CASTalias0.MSID AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID ;",57007.436990737915,imdb,mysql
"SELECT PRODUCERalias0.NAME FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , MADE_BY AS MADE_BYalias0 , MOVIE AS MOVIEalias0 , PRODUCER AS PRODUCERalias0 WHERE ACTORalias0.NAME = ""Kate Winslet"" AND CASTalias0.AID = ACTORalias0.AID AND MOVIEalias0.MID = CASTalias0.MSID AND MOVIEalias0.MID = MADE_BYalias0.MSID AND PRODUCERalias0.PID = MADE_BYalias0.PID ;",54064.988136291504,imdb,mysql
"SELECT COMPANYalias0.NAME FROM COMPANY AS COMPANYalias0 , COPYRIGHT AS COPYRIGHTalias0 , TV_SERIES AS TV_SERIESalias0 WHERE COPYRIGHTalias0.CID = COMPANYalias0.ID AND TV_SERIESalias0.SID = COPYRIGHTalias0.MSID AND TV_SERIESalias0.TITLE = ""Mickey Mouse"" ;",710.2031707763672,imdb,mysql
"SELECT TV_SERIESalias0.TITLE FROM COMPANY AS COMPANYalias0 , COPYRIGHT AS COPYRIGHTalias0 , TV_SERIES AS TV_SERIESalias0 WHERE COMPANYalias0.NAME = ""Netflix"" AND COPYRIGHTalias0.CID = COMPANYalias0.ID AND TV_SERIESalias0.SID = COPYRIGHTalias0.MSID ;",719.1331386566162,imdb,mysql
"SELECT DIRECTORalias0.NAME FROM COMPANY AS COMPANYalias0 , COPYRIGHT AS COPYRIGHTalias0 , DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , TV_SERIES AS TV_SERIESalias0 WHERE COMPANYalias0.NAME = ""Netflix"" AND COPYRIGHTalias0.CID = COMPANYalias0.ID AND DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND TV_SERIESalias0.SID = COPYRIGHTalias0.MSID AND TV_SERIESalias0.SID = DIRECTED_BYalias0.MSID AND TV_SERIESalias0.TITLE = ""House of Cards"" ;",750.3879070281982,imdb,mysql
"SELECT DIRECTORalias0.NAME FROM DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , TV_SERIES AS TV_SERIESalias0 WHERE DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND TV_SERIESalias0.RELEASE_YEAR = 2013 AND TV_SERIESalias0.SID = DIRECTED_BYalias0.MSID AND TV_SERIESalias0.TITLE = ""House of Cards"" ;",3538.8028621673584,imdb,mysql
"SELECT ACTORalias0.NAME FROM ACTOR AS ACTORalias0 WHERE ACTORalias0.BIRTH_CITY = ""Austin"" AND ACTORalias0.GENDER = ""female"" ;",499.208927154541,imdb,mysql
"SELECT ACTORalias0.NAME FROM ACTOR AS ACTORalias0 WHERE ACTORalias0.BIRTH_YEAR > 1980 AND ACTORalias0.NATIONALITY = ""Italy"" ;",465.58213233947754,imdb,mysql
"SELECT ACTORalias0.NAME FROM ACTOR AS ACTORalias0 WHERE ACTORalias0.BIRTH_CITY = ""New York City"" AND ACTORalias0.BIRTH_YEAR > 1980 AND ACTORalias0.GENDER = ""female"" ;",527.7621746063232,imdb,mysql
"SELECT ACTORalias0.NAME FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , MOVIE AS MOVIEalias0 WHERE ACTORalias0.GENDER = ""female"" AND CASTalias0.AID = ACTORalias0.AID AND MOVIEalias0.MID = CASTalias0.MSID AND MOVIEalias0.TITLE = ""Saving Private Ryan"" ;",16771.026372909546,imdb,mysql
"SELECT DIRECTORalias0.NAME FROM DIRECTOR AS DIRECTORalias0 WHERE DIRECTORalias0.NATIONALITY = ""Afghanistan"" ;",115.03100395202637,imdb,mysql
"SELECT ACTORalias0.NAME FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , MOVIE AS MOVIEalias0 WHERE CASTalias0.AID = ACTORalias0.AID AND MOVIEalias0.MID = CASTalias0.MSID AND MOVIEalias0.TITLE = ""Camp X-Ray"" ;",16297.897100448608,imdb,mysql
"SELECT ACTORalias0.NAME FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , MOVIE AS MOVIEalias0 WHERE ACTORalias0.NATIONALITY = ""Canada"" AND CASTalias0.AID = ACTORalias0.AID AND MOVIEalias0.MID = CASTalias0.MSID AND MOVIEalias0.TITLE = ""James Bond"" ;",16224.818229675293,imdb,mysql
"SELECT MOVIEalias0.TITLE FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , MOVIE AS MOVIEalias0 WHERE ACTORalias0.NAME = ""Rowan Atkinson"" AND CASTalias0.AID = ACTORalias0.AID AND CASTalias0.ROLE = ""Mr. Bean"" AND MOVIEalias0.MID = CASTalias0.MSID ;",2054.9049377441406,imdb,mysql
"SELECT DIRECTORalias0.BIRTH_CITY FROM DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 WHERE DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID AND MOVIEalias0.TITLE = ""The Past"" ;",5875.040054321289,imdb,mysql
"SELECT ACTORalias0.NAME FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 WHERE CASTalias0.AID = ACTORalias0.AID AND CASTalias0.ROLE = ""Mr. Bean"" ;",1933.5460662841797,imdb,mysql
"SELECT GENREalias0.GENRE FROM CLASSIFICATION AS CLASSIFICATIONalias0 , DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , GENRE AS GENREalias0 , MOVIE AS MOVIEalias0 WHERE DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND DIRECTORalias0.NAME = ""Asghar Farhadi"" AND GENREalias0.GID = CLASSIFICATIONalias0.GID AND MOVIEalias0.MID = CLASSIFICATIONalias0.MSID AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID ;",5579.326868057251,imdb,mysql
"SELECT MOVIEalias0.TITLE FROM CAST AS CASTalias0 , MOVIE AS MOVIEalias0 WHERE CASTalias0.ROLE = ""Daffy Duck"" AND MOVIEalias0.MID = CASTalias0.MSID ;",2063.218832015991,imdb,mysql
"SELECT CASTalias0.ROLE FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , MOVIE AS MOVIEalias0 WHERE CASTalias0.AID = ACTORalias0.AID AND MOVIEalias0.MID = CASTalias0.MSID AND MOVIEalias0.TITLE = ""Daddy Long Legs"" ;",15243.592977523804,imdb,mysql
"SELECT DIRECTORalias0.NAME FROM COMPANY AS COMPANYalias0 , COPYRIGHT AS COPYRIGHTalias0 , DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 WHERE COMPANYalias0.NAME = ""NBCUniversal"" AND COPYRIGHTalias0.CID = COMPANYalias0.ID AND DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND DIRECTORalias0.GENDER = ""male"" AND MOVIEalias0.MID = COPYRIGHTalias0.MSID AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID ;",1219.8679447174072,imdb,mysql
"SELECT DIRECTORalias0.NAME FROM DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , KEYWORD AS KEYWORDalias0 , MOVIE AS MOVIEalias0 , TAGS AS TAGSalias0 WHERE DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND KEYWORDalias0.KEYWORD = ""nuclear weapons"" AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID AND TAGSalias0.KID = KEYWORDalias0.ID AND TAGSalias0.MSID = MOVIEalias0.MID ;",42249.709129333496,imdb,mysql
"SELECT COUNT( DISTINCT ( MOVIEalias0.TITLE ) ) FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , MOVIE AS MOVIEalias0 WHERE ACTORalias0.NAME = ""Jennifer Aniston"" AND CASTalias0.AID = ACTORalias0.AID AND MOVIEalias0.MID = CASTalias0.MSID AND MOVIEalias0.RELEASE_YEAR > 2010 ;",16553.457021713257,imdb,mysql
"SELECT COUNT( DISTINCT ( ACTORalias0.NAME ) ) FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , MOVIE AS MOVIEalias0 WHERE CASTalias0.AID = ACTORalias0.AID AND MOVIEalias0.MID = CASTalias0.MSID AND MOVIEalias0.TITLE = ""Saving Private Ryan"" ;",16830.974340438843,imdb,mysql
"SELECT COUNT( DISTINCT ( MOVIEalias0.TITLE ) ) FROM DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 WHERE DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND DIRECTORalias0.NAME = ""Steven Spielberg"" AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID ;",1114.6481037139893,imdb,mysql
SELECT COUNT( DISTINCT ( MOVIEalias0.TITLE ) ) FROM MOVIE AS MOVIEalias0 WHERE MOVIEalias0.RELEASE_YEAR = 2013 ;,235.61501502990723,imdb,mysql
"SELECT COUNT( DISTINCT ( MOVIEalias0.TITLE ) ) , MOVIEalias0.RELEASE_YEAR FROM DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 WHERE DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND DIRECTORalias0.NAME = ""Woody Allen"" AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID GROUP BY MOVIEalias0.RELEASE_YEAR ;",1071.7990398406982,imdb,mysql
"SELECT COUNT( DISTINCT ( MOVIEalias0.TITLE ) ) FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , MOVIE AS MOVIEalias0 WHERE ACTORalias0.NAME = ""Shahab Hosseini"" AND CASTalias0.AID = ACTORalias0.AID AND MOVIEalias0.MID = CASTalias0.MSID ;",17959.917068481445,imdb,mysql
"SELECT COUNT( DISTINCT ( ACTORalias0.NAME ) ) FROM ACTOR AS ACTORalias0 WHERE ACTORalias0.BIRTH_CITY = ""Los Angeles"" AND ACTORalias0.BIRTH_YEAR > 2000 ;",444.6830749511719,imdb,mysql
"SELECT COUNT( DISTINCT ( MOVIEalias0.TITLE ) ) FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , MOVIE AS MOVIEalias0 WHERE ACTORalias0.NAME = ""Humphrey Bogart"" AND CASTalias0.AID = ACTORalias0.AID AND MOVIEalias0.MID = CASTalias0.MSID AND MOVIEalias0.RELEASE_YEAR < 1942 ;",17053.450107574463,imdb,mysql
"SELECT COUNT( DISTINCT ( MOVIEalias0.TITLE ) ) , MOVIEalias0.RELEASE_YEAR FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , MOVIE AS MOVIEalias0 WHERE ACTORalias0.NAME = ""Brad Pitt"" AND CASTalias0.AID = ACTORalias0.AID AND MOVIEalias0.MID = CASTalias0.MSID GROUP BY MOVIEalias0.RELEASE_YEAR ;",18942.840099334717,imdb,mysql
"SELECT COUNT( DISTINCT ( MOVIEalias0.TITLE ) ) FROM KEYWORD AS KEYWORDalias0 , MOVIE AS MOVIEalias0 , TAGS AS TAGSalias0 WHERE KEYWORDalias0.KEYWORD = ""Iraq war"" AND MOVIEalias0.RELEASE_YEAR = 2015 AND TAGSalias0.KID = KEYWORDalias0.ID AND TAGSalias0.MSID = MOVIEalias0.MID ;",38.74707221984863,imdb,mysql
"SELECT COUNT( DISTINCT ( MOVIEalias0.TITLE ) ) FROM KEYWORD AS KEYWORDalias0 , MOVIE AS MOVIEalias0 , TAGS AS TAGSalias0 WHERE KEYWORDalias0.KEYWORD = ""Persians"" AND MOVIEalias0.RELEASE_YEAR > 1990 AND TAGSalias0.KID = KEYWORDalias0.ID AND TAGSalias0.MSID = MOVIEalias0.MID ;",29.59299087524414,imdb,mysql
"SELECT COUNT( DISTINCT ( MOVIEalias0.TITLE ) ) FROM DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 WHERE DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND DIRECTORalias0.NAME = ""Quentin Tarantino"" AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID AND MOVIEalias0.RELEASE_YEAR > 2010 ;",1050.8508682250977,imdb,mysql
"SELECT COUNT( DISTINCT ( MOVIEalias0.TITLE ) ) FROM DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 WHERE DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND DIRECTORalias0.NAME = ""Quentin Tarantino"" AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID AND MOVIEalias0.RELEASE_YEAR < 2010 ;",1016.136884689331,imdb,mysql
"SELECT COUNT( DISTINCT ( MOVIEalias0.TITLE ) ) FROM DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MADE_BY AS MADE_BYalias0 , MOVIE AS MOVIEalias0 , PRODUCER AS PRODUCERalias0 WHERE DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND DIRECTORalias0.NAME = ""Quentin Tarantino"" AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID AND MOVIEalias0.MID = MADE_BYalias0.MSID AND MOVIEalias0.RELEASE_YEAR < 2010 AND MOVIEalias0.RELEASE_YEAR > 2002 AND PRODUCERalias0.PID = MADE_BYalias0.PID ;",1872.0450401306152,imdb,mysql
"SELECT COUNT( DISTINCT ( MOVIEalias0.TITLE ) ) FROM COMPANY AS COMPANYalias0 , COPYRIGHT AS COPYRIGHTalias0 , MOVIE AS MOVIEalias0 WHERE COMPANYalias0.NAME = ""Netflix"" AND COPYRIGHTalias0.CID = COMPANYalias0.ID AND MOVIEalias0.MID = COPYRIGHTalias0.MSID ;",653.5177230834961,imdb,mysql
"SELECT COUNT( DISTINCT ( ACTORalias0.NAME ) ) FROM ACTOR AS ACTORalias0 WHERE ACTORalias0.BIRTH_CITY = ""New York City"" AND ACTORalias0.BIRTH_YEAR > 1980 AND ACTORalias0.GENDER = ""female"" ;",481.8601608276367,imdb,mysql
"SELECT COUNT( DISTINCT ( ACTORalias0.NAME ) ) FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 WHERE ACTORalias0.NATIONALITY = ""Iran"" AND CASTalias0.AID = ACTORalias0.AID AND DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND DIRECTORalias0.NAME = ""Jim Jarmusch"" AND MOVIEalias0.MID = CASTalias0.MSID AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID ;",2220.273971557617,imdb,mysql
