query,runtime (ms),query_complexity,runtime_boolean,table_size,length
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 course_offering as course_offeringalias0 instructor as instructoralias0 offering_instructor as offering_instructoralias0 semester as semesteralias0 where coursealias0course_id course_offeringalias0course_id and instructoralias0name like deorio and offering_instructoralias0instructor_id instructoralias0instructor_id and offering_instructoralias0offering_id course_offeringalias0offering_id and semesteralias0semester wn and semesteralias0semester_id course_offeringalias0semester and semesteralias0year 2017 ,3.9980411529541016,1,1,332336,43
select distinct coursealias0name coursealias0number from course as coursealias0 where coursealias0credits 3 and coursealias0department eecs ,7.947921752929688,1,1,11453,14
select distinct coursealias0name coursealias0number from course as coursealias0 where coursealias0department eecs and coursealias0has_lab n ,6.502866744995117,1,1,11453,14
select distinct coursealias0description coursealias0name from course as coursealias0 where coursealias0department eecs and coursealias0number 388 ,6.417989730834961,1,1,11453,14
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 program_course as program_coursealias0 where coursealias0department like eecs and program_coursealias0category like premajor and program_coursealias0course_id coursealias0course_id ,0.5459785461425781,1,0,11492,23
select distinct coursealias0department coursealias0name coursealias0number semesteralias0semester from course as coursealias0 course_offering as course_offeringalias0 semester as semesteralias0 where coursealias0course_id course_offeringalias0course_id and coursealias0department eecs and coursealias0number between 400 and 400 100 and semesteralias0semester in sp su ss and semesteralias0semester_id course_offeringalias0semester and semesteralias0year 2016 ,8.21995735168457,1,1,163281,41
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 program_course as program_coursealias0 where program_coursealias0category like mde and program_coursealias0course_id coursealias0course_id ,0.5717277526855469,1,0,11492,19
select distinct program_coursealias0category from course as coursealias0 program_course as program_coursealias0 where coursealias0department eecs and coursealias0number 285 and program_coursealias0course_id coursealias0course_id ,0.5240440368652344,1,0,11492,19
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 course_offering as course_offeringalias0 instructor as instructoralias0 offering_instructor as offering_instructoralias0 where coursealias0course_id course_offeringalias0course_id and coursealias0number 203 and instructoralias0name like kuipers and offering_instructoralias0instructor_id instructoralias0instructor_id and offering_instructoralias0offering_id course_offeringalias0offering_id ,3.950119018554687,1,1,332262,34
select count distinct course_offeringalias0course_id from course as coursealias0 course_offering as course_offeringalias0 offering_instructor as offering_instructoralias0 offering_instructor as offering_instructoralias1 offering_instructor as offering_instructoralias2 where coursealias0course_id course_offeringalias0course_id and coursealias0department eecs and offering_instructoralias0instructor_id offering_instructoralias1instructor_id and offering_instructoralias0offering_id course_offeringalias0offering_id and offering_instructoralias1instructor_id offering_instructoralias2instructor_id and offering_instructoralias1offering_id offering_instructoralias0offering_id and offering_instructoralias2offering_id offering_instructoralias0offering_id ,31.070947647094727,1,1,642043,41
select count 0 from course as coursealias0 program_course as program_coursealias0 where coursealias0credits 4 and coursealias0department eecs and program_coursealias0category like ulcs and program_coursealias0course_id coursealias0course_id ,0.5590915679931641,0,0,11492,23
select distinct instructoralias0name from instructor as instructoralias0 course as coursealias1 course_offering as course_offeringalias1 offering_instructor as offering_instructoralias1 where coursealias1course_id course_offeringalias1course_id and coursealias1department eecs and course_offeringalias1offering_id offering_instructoralias1offering_id and instructoralias0instructor_id offering_instructoralias1instructor_id and instructoralias0instructor_id not in select distinct offering_instructoralias0instructor_id from course as coursealias0 course_offering as course_offeringalias0 offering_instructor as offering_instructoralias0 where coursealias0course_id course_offeringalias0course_id and coursealias0has_lab y and course_offeringalias0offering_id offering_instructoralias0offering_id ,18.483877182006836,1,1,655081,54
select count 0 from course as coursealias0 course_offering as course_offeringalias0 semester as semesteralias0 where coursealias0description like seminar or coursealias0name like seminar and coursealias0description like natural language processing or coursealias0name like natural language processing and coursealias0course_id course_offeringalias0course_id and semesteralias0semester_id course_offeringalias0semester and semesteralias0year 2016 ,29.22511100769043,0,1,163281,42
select distinct coursealias0number from course as coursealias0 inner join program_course as program_coursealias0 on program_coursealias0course_id coursealias0course_id where coursealias0number 484 or coursealias0number 485 and program_coursealias0workload select min program_coursealias1workload from program_course as program_coursealias1 inner join course as coursealias1 on program_coursealias1course_id coursealias1course_id where coursealias1number 484 or coursealias1number 485 and coursealias1department eecs ,1.1091232299804688,1,0,22984,47
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 inner join course_offering as course_offeringalias0 on coursealias0course_id course_offeringalias0course_id inner join offering_instructor as offering_instructoralias0 on offering_instructoralias0offering_id course_offeringalias0offering_id inner join instructor as instructoralias0 on offering_instructoralias0instructor_id instructoralias0instructor_id inner join program_course as program_coursealias0 on program_coursealias0course_id coursealias0course_id where instructoralias0name like deorio and program_coursealias0category like ulcs ,6.023883819580078,1,1,332301,49
select distinct course_offeringalias0end_time course_offeringalias0friday course_offeringalias0monday course_offeringalias0saturday course_offeringalias0start_time course_offeringalias0sunday course_offeringalias0thursday course_offeringalias0tuesday course_offeringalias0wednesday from semester as semesteralias0 inner join course_offering as course_offeringalias0 on semesteralias0semester_id course_offeringalias0semester inner join course as coursealias0 on coursealias0course_id course_offeringalias0course_id where coursealias0department eecs and coursealias0number 482 and semesteralias0semester fa and semesteralias0year 2016 ,4.173994064331055,1,1,163281,43
select distinct semesteralias0semester semesteralias0year from semester as semesteralias0 inner join course_offering as course_offeringalias0 on semesteralias0semester_id course_offeringalias0semester inner join course as coursealias0 on coursealias0course_id course_offeringalias0course_id where coursealias0name like operating systems and semesteralias0semester_id select semesteralias1semester_id from semester as semesteralias1 where semesteralias1semester wn and semesteralias1year 2016 ,7.090091705322266,1,1,163355,43
select distinct course_offeringalias0end_time course_offeringalias0friday course_offeringalias0monday course_offeringalias0saturday course_offeringalias0start_time course_offeringalias0sunday course_offeringalias0thursday course_offeringalias0tuesday course_offeringalias0wednesday from semester as semesteralias0 inner join course_offering as course_offeringalias0 on semesteralias0semester_id course_offeringalias0semester inner join course as coursealias0 on coursealias0course_id course_offeringalias0course_id where coursealias0department eecs and coursealias0number 482 and semesteralias0semester fa and semesteralias0year 2016 ,3.8039684295654297,1,1,163281,43
select distinct course_offeringalias0end_time coursealias0number from course as coursealias0 inner join course_offering as course_offeringalias0 on coursealias0course_id course_offeringalias0course_id inner join semester as semesteralias0 on semesteralias0semester_id course_offeringalias0semester where coursealias0department eecs and coursealias0number 492 or coursealias0number 445 and course_offeringalias0end_time 170000 and semesteralias0semester wn and semesteralias0year 2016 ,5.43212890625,1,1,163281,42
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 inner join course_offering as course_offeringalias0 on coursealias0course_id course_offeringalias0course_id inner join semester as semesteralias0 on semesteralias0semester_id course_offeringalias0semester where coursealias0number 398 or coursealias0number 498 or coursealias0number 598 and coursealias0department eecs and semesteralias0semester wn and semesteralias0year 2017 ,7.874965667724609,1,1,163281,43
select distinct instructoralias0name from instructor as instructoralias0 inner join offering_instructor as offering_instructoralias0 on offering_instructoralias0instructor_id instructoralias0instructor_id inner join course_offering as course_offeringalias0 on offering_instructoralias0offering_id course_offeringalias0offering_id inner join semester as semesteralias0 on semesteralias0semester_id course_offeringalias0semester inner join course as coursealias0 on coursealias0course_id course_offeringalias0course_id where coursealias0name like natural language processing and semesteralias0semester wn and semesteralias0year 2017 ,6.319761276245117,1,1,332336,51
select distinct instructoralias0name from course as coursealias0 inner join course_offering as course_offeringalias0 on coursealias0course_id course_offeringalias0course_id inner join semester as semesteralias0 on semesteralias0semester_id course_offeringalias0semester inner join program_course as program_coursealias0 on program_coursealias0course_id course_offeringalias0course_id inner join offering_instructor as offering_instructoralias0 on offering_instructoralias0offering_id course_offeringalias0offering_id inner join instructor as instructoralias0 on offering_instructoralias0instructor_id instructoralias0instructor_id where program_coursealias0category like mde and semesteralias0semester wn and semesteralias0year 2017 ,1.878023147583008,1,0,332375,57
select distinct instructoralias0name from instructor as instructoralias0 inner join offering_instructor as offering_instructoralias0 on offering_instructoralias0instructor_id instructoralias0instructor_id inner join course_offering as course_offeringalias0 on offering_instructoralias0offering_id course_offeringalias0offering_id inner join course as coursealias0 on coursealias0course_id course_offeringalias0course_id inner join semester as semesteralias0 on semesteralias0semester_id course_offeringalias0semester where coursealias0department eecs and coursealias0number 482 and semesteralias0semester fa and semesteralias0year 2016 ,3.329753875732422,1,1,332336,51
select distinct instructoralias0name from instructor as instructoralias0 inner join offering_instructor as offering_instructoralias0 on offering_instructoralias0instructor_id instructoralias0instructor_id inner join course_offering as course_offeringalias0 on offering_instructoralias0offering_id course_offeringalias0offering_id inner join course as coursealias0 on coursealias0course_id course_offeringalias0course_id where coursealias0name like autonomous robotics ,5.842924118041992,1,1,332262,36
select distinct instructoralias0name from course as coursealias0 course_offering as course_offeringalias0 instructor as instructoralias0 offering_instructor as offering_instructoralias0 where coursealias0course_id course_offeringalias0course_id and coursealias0department eecs and coursealias0number 203 and offering_instructoralias0instructor_id instructoralias0instructor_id and offering_instructoralias0offering_id course_offeringalias0offering_id ,5.282163619995117,1,1,332262,31
select count 0 from course as coursealias0 course_offering as course_offeringalias0 instructor as instructoralias0 offering_instructor as offering_instructoralias0 semester as semesteralias0 where coursealias0course_id course_offeringalias0course_id and coursealias0department eecs and coursealias0number 482 and instructoralias0name like chen and offering_instructoralias0instructor_id instructoralias0instructor_id and offering_instructoralias0offering_id course_offeringalias0offering_id and semesteralias0semester wn and semesteralias0semester_id course_offeringalias0semester and semesteralias0year 2017 ,4.829883575439453,0,1,332336,47
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 inner join course_offering as course_offeringalias0 on coursealias0course_id course_offeringalias0course_id inner join semester as semesteralias0 on semesteralias0semester_id course_offeringalias0semester inner join program_course as program_coursealias0 on program_coursealias0course_id coursealias0course_id where semesteralias0semester fa or semesteralias0semester wn and coursealias0department eecs and program_coursealias0category like ulcs and semesteralias0year 2016 ,1.8031597137451172,1,0,163320,49
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 where coursealias0description like networks or coursealias0name like networks and coursealias0department eecs ,6.03175163269043,1,1,11453,20
select distinct program_coursealias0workload from course as coursealias0 program_course as program_coursealias0 where coursealias0department eecs and coursealias0number 370 and program_coursealias0course_id coursealias0course_id ,0.4172325134277344,1,0,11492,19
select distinct coursealias0department coursealias0name coursealias0number instructoralias0name from course as coursealias0 course_offering as course_offeringalias0 instructor as instructoralias0 offering_instructor as offering_instructoralias0 where coursealias0course_id course_offeringalias0course_id and coursealias0name like algorithms and instructoralias0name not like stout and offering_instructoralias0instructor_id instructoralias0instructor_id and offering_instructoralias0offering_id course_offeringalias0offering_id ,6.704092025756836,1,1,332262,37
select distinct coursealias0number from course as coursealias0 where coursealias0description like video game or coursealias0name like video game and coursealias0department eecs ,4.867792129516602,1,1,11453,20
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 inner join course_offering as course_offeringalias0 on coursealias0course_id course_offeringalias0course_id inner join semester as semesteralias0 on semesteralias0semester_id course_offeringalias0semester inner join program_course as program_coursealias0 on program_coursealias0course_id course_offeringalias0course_id where program_coursealias0category like mde and semesteralias0semester wn and semesteralias0year 2017 ,0.8130073547363281,1,0,163320,43
select distinct coursealias0has_projects from course as coursealias0 where coursealias0department eecs and coursealias0number 595 ,5.418062210083008,1,1,11453,13
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 course_offering as course_offeringalias0 program_course as program_coursealias0 semester as semesteralias0 where course_offeringalias0friday n and course_offeringalias0monday n and coursealias0course_id course_offeringalias0course_id and program_coursealias0category like ulcs and program_coursealias0course_id coursealias0course_id and semesteralias0semester fa and semesteralias0semester_id course_offeringalias0semester and semesteralias0year 2016 ,1.7750263214111328,1,0,163320,43
select distinct coursealias0name coursealias0number from course as coursealias0 where coursealias0department eecs and coursealias0has_lab n and coursealias0number 400 100 and coursealias0number 400 ,3.840923309326172,1,1,11453,21
select distinct coursealias0department coursealias0name coursealias0number from area as areaalias0 course as coursealias0 where areaalias0area like hardware and coursealias0course_id areaalias0course_id ,1.016855239868164,1,0,11529,19
select distinct coursealias0num_enrolled from course as coursealias0 where coursealias0department eecs and coursealias0number 280 ,5.586385726928711,1,1,11453,13
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 where coursealias0description like artificial intelligence or coursealias0name like artificial intelligence and coursealias0credits 4 ,24.552106857299805,1,1,11453,22
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 inner join area as areaalias0 on coursealias0course_id areaalias0course_id inner join program_course as program_coursealias0 on program_coursealias0course_id coursealias0course_id where areaalias0area like artificial intelligence or coursealias0description like artificial intelligence or coursealias0name like artificial intelligence and program_coursealias0category like mde ,0.7429122924804688,1,0,11568,44
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 inner join area as areaalias0 on coursealias0course_id areaalias0course_id where areaalias0area like artificial intelligence or coursealias0description like artificial intelligence or coursealias0name like artificial intelligence and coursealias0enforced_requirement n a ,0.5350112915039062,1,0,11529,36
select distinct coursealias0department coursealias0name coursealias0number semesteralias0semester from select student_recordalias0course_id from student_record as student_recordalias0 where student_recordalias0earn_credit y and student_recordalias0student_id 1 as derived_tablealias0 course as coursealias0 course_offering as course_offeringalias0 program_course as program_coursealias0 semester as semesteralias0 where coursealias0course_id course_offeringalias0course_id and coursealias0course_id not in derived_tablealias0course_id and coursealias0course_id not in select distinct course_prerequisitealias0course_id from course_prerequisite as course_prerequisitealias0 where course_prerequisitealias0pre_course_id not in derived_tablealias0course_id and coursealias0department eecs and program_coursealias0category like mde and program_coursealias0course_id course_offeringalias0course_id and semesteralias0semester in sp ss su and semesteralias0semester_id course_offeringalias0semester and semesteralias0year 2016 ,1.1839866638183594,1,0,163449,79
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 inner join area as areaalias0 on coursealias0course_id areaalias0course_id where areaalias0area like artificial intelligence or coursealias0description like artificial intelligence or coursealias0name like artificial intelligence and areaalias0area like software engineering or coursealias0description like software engineering or coursealias0name like software engineering ,0.6868839263916016,1,0,11529,47
select distinct course_offeringalias0friday course_offeringalias0monday course_offeringalias0saturday course_offeringalias0sunday course_offeringalias0thursday course_offeringalias0tuesday course_offeringalias0wednesday from course as coursealias0 inner join course_offering as course_offeringalias0 on coursealias0course_id course_offeringalias0course_id inner join semester as semesteralias0 on semesteralias0semester_id course_offeringalias0semester where coursealias0department eecs and coursealias0number 281 and semesteralias0semester wn and semesteralias0year 2016 ,4.210948944091797,1,1,163281,41
select distinct coursealias0advisory_requirement from course as coursealias0 where coursealias0department eecs and coursealias0number 545 ,3.2837390899658203,1,1,11453,13
select distinct coursealias0name coursealias0number program_coursealias0workload from course as coursealias0 program_course as program_coursealias0 where coursealias0department eecs and coursealias0number between 300 and 300 100 and program_coursealias0course_id coursealias0course_id and program_coursealias0workload 3 order by program_coursealias0workload asc ,0.421762466430664,1,0,11492,32
select distinct coursealias0name coursealias0number program_coursealias0workload from course as coursealias0 inner join program_course as program_coursealias0 on program_coursealias0course_id coursealias0course_id where coursealias0department eecs and program_coursealias0workload select min program_coursealias1workload from program_course as program_coursealias1 ,0.4091262817382812,1,0,11531,29
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 inner join program_course as program_coursealias0 on program_coursealias0course_id coursealias0course_id inner join course_offering as course_offeringalias0 on coursealias0course_id course_offeringalias0course_id inner join semester as semesteralias0 on semesteralias0semester_id course_offeringalias0semester where program_coursealias0category like ulcs and semesteralias0semester fa and semesteralias0year 2016 ,1.3239383697509766,1,0,163320,43
select distinct course_offeringalias0start_time from course as coursealias0 inner join program_course as program_coursealias0 on program_coursealias0course_id coursealias0course_id inner join course_offering as course_offeringalias0 on coursealias0course_id course_offeringalias0course_id inner join semester as semesteralias0 on semesteralias0semester_id course_offeringalias0semester where coursealias0department eecs and coursealias0number 492 and semesteralias0semester fa and semesteralias0year 2016 ,0.6871223449707031,1,0,163320,43
select distinct coursealias0name from course as coursealias0 where coursealias0department eecs and coursealias0number 492 ,4.336118698120117,1,1,11453,13
select distinct programalias0name from course as coursealias0 inner join program_course as program_coursealias0 on program_coursealias0course_id coursealias0course_id inner join program as programalias0 on programalias0program_id program_coursealias0program_id where coursealias0department physics and coursealias0number 240 ,0.4682540893554687,1,0,11493,29
select distinct coursealias0name coursealias0number from course as coursealias0 where coursealias0department eecs and coursealias0credits 1 ,4.276037216186523,1,1,11453,14
select count 0 from course as coursealias0 inner join course_offering as course_offeringalias0 on coursealias0course_id course_offeringalias0course_id inner join semester as semesteralias0 on semesteralias0semester_id course_offeringalias0semester where course_offeringalias0section_number 500 and coursealias0department engr and coursealias0number 100 and semesteralias0semester wn and semesteralias0year 2016 ,4.69207763671875,1,1,163281,38
select count distinct course_offeringalias0section_number from course as coursealias0 inner join program_course as program_coursealias0 on program_coursealias0course_id coursealias0course_id inner join course_offering as course_offeringalias0 on coursealias0course_id course_offeringalias0course_id where coursealias0department eecs and coursealias0number 280 ,0.8757114410400391,1,0,163246,30
select distinct coursealias0department coursealias0description coursealias0number from course as coursealias0 where coursealias0department chem and coursealias0number 130 or coursealias0department chem and coursealias0number 125 ,4.151105880737305,1,1,11453,21
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 where coursealias0credits 3 and coursealias0department eecs and coursealias0number 400 100 and coursealias0number 400 ,4.113912582397461,1,1,11453,22
select distinct course_offeringalias0end_time course_offeringalias0section_number course_offeringalias0start_time from course as coursealias0 course_offering as course_offeringalias0 semester as semesteralias0 where course_offeringalias0start_time 1200 and coursealias0course_id course_offeringalias0course_id and coursealias0department eecs and coursealias0number 280 and semesteralias0semester wn and semesteralias0semester_id course_offeringalias0semester and semesteralias0year 2016 ,5.294084548950195,1,1,163281,36
select count 0 from course as coursealias0 course_offering as course_offeringalias0 instructor as instructoralias0 offering_instructor as offering_instructoralias0 where coursealias0course_id course_offeringalias0course_id and coursealias0department eecs and coursealias0number 203 and instructoralias0name like quentin stout and offering_instructoralias0instructor_id instructoralias0instructor_id and offering_instructoralias0offering_id course_offeringalias0offering_id ,5.164146423339844,0,1,332262,36
select count 0 from course as coursealias0 program_course as program_coursealias0 where coursealias0department eecs and coursealias0number 376 and program_coursealias0category like core and program_coursealias0course_id coursealias0course_id ,0.3910064697265625,0,0,11492,23
select distinct coursealias0department coursealias0name coursealias0number from program_course as program_coursealias0 inner join course as coursealias0 on program_coursealias0course_id coursealias0course_id where coursealias0department math ,0.4601478576660156,1,0,11492,20
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 program_course as program_coursealias0 where coursealias0department like eecs and program_coursealias0category like core and program_coursealias0course_id coursealias0course_id ,0.4129409790039062,1,0,11492,23
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 inner join program_course as program_coursealias0 on program_coursealias0course_id coursealias0course_id where coursealias0department like eecs and program_coursealias0category like core ,0.3669261932373047,1,0,11492,25
select distinct coursealias0department coursealias0name coursealias0number from program_course as program_coursealias0 inner join course as coursealias0 on program_coursealias0course_id coursealias0course_id where coursealias0department like eecs and program_coursealias0category like core ,0.4079341888427734,1,0,11492,25
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 course_offering as course_offeringalias0 instructor as instructoralias0 offering_instructor as offering_instructoralias0 where coursealias0course_id course_offeringalias0course_id and instructoralias0name like smith and offering_instructoralias0instructor_id instructoralias0instructor_id and offering_instructoralias0offering_id course_offeringalias0offering_id ,6.041288375854492,1,1,332262,31
select distinct semesteralias0year from course as coursealias0 course_offering as course_offeringalias0 semester as semesteralias0 where coursealias0course_id course_offeringalias0course_id and coursealias0department eecs and coursealias0number 281 and semesteralias0semester_id course_offeringalias0semester order by semesteralias0year desc limit 1 ,5.486011505126953,1,1,163281,31
select count distinct coursealias0course_id from course as coursealias0 inner join program_course as program_coursealias0 on program_coursealias0course_id coursealias0course_id where coursealias0has_lab y and program_coursealias0category like ulcs ,0.5891323089599609,1,0,11492,23
select count distinct course_offeringalias0offering_id from course as coursealias0 course_offering as course_offeringalias0 where coursealias0course_id course_offeringalias0course_id and coursealias0department eecs and coursealias0number 280 ,5.09333610534668,1,1,163207,20
select derived_fieldalias0 derived_fieldalias1 derived_fieldalias2 derived_fieldalias3 derived_fieldalias4 derived_fieldalias5 derived_fieldalias6 from select sum case when derived_tablealias0friday y then 1 else 0 end as derived_fieldalias0 sum case when derived_tablealias0monday y then 1 else 0 end as derived_fieldalias1 sum case when derived_tablealias0saturday y then 1 else 0 end as derived_fieldalias2 sum case when derived_tablealias0sunday y then 1 else 0 end as derived_fieldalias3 sum case when derived_tablealias0thursday y then 1 else 0 end as derived_fieldalias4 sum case when derived_tablealias0tuesday y then 1 else 0 end as derived_fieldalias5 sum case when derived_tablealias0wednesday y then 1 else 0 end as derived_fieldalias6 from select course_offeringalias0 from course as coursealias0 course_offering as course_offeringalias0 semester as semesteralias0 where coursealias0course_id course_offeringalias0course_id and coursealias0department eecs and coursealias0number 280 and semesteralias0semester wn and semesteralias0semester_id course_offeringalias0semester and semesteralias0year 2016 limit 1 as derived_tablealias0 as derived_tablealias1 ,1.561880111694336,0,0,163281,131
select count distinct course_offeringalias0course_id from course_offering as course_offeringalias0 semester as semesteralias0 where semesteralias0semester fa and semesteralias0semester_id course_offeringalias0semester and semesteralias0year 2016 ,32.51814842224121,1,1,151828,20
select distinct instructoralias0name from course as coursealias0 course_offering as course_offeringalias0 instructor as instructoralias0 offering_instructor as offering_instructoralias0 where coursealias0course_id course_offeringalias0course_id and coursealias0department eecs and coursealias0number 280 and instructoralias0name not like smith and offering_instructoralias0instructor_id instructoralias0instructor_id and offering_instructoralias0offering_id course_offeringalias0offering_id ,6.1550140380859375,1,1,332262,36
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 program as programalias0 program_course as program_coursealias0 where program_coursealias0category like core and program_coursealias0course_id coursealias0course_id and programalias0name like cslsa and programalias0program_id program_coursealias0program_id ,0.7348060607910156,1,0,11493,29
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 program as programalias0 program_course as program_coursealias0 where coursealias0department eecs and program_coursealias0course_id coursealias0course_id and programalias0program_id program_coursealias0program_id ,0.5409717559814453,1,0,11493,24
select distinct program_requirementalias0additional_req program_requirementalias0category program_requirementalias0min_credit programalias0name from program as programalias0 program_requirement as program_requirementalias0 where programalias0name like cslsa and programalias0program_id program_requirementalias0program_id ,0.6020069122314453,1,0,5,20
select distinct coursealias0department coursealias0name coursealias0number semesteralias0semester semesteralias0year student_recordalias0grade from course as coursealias0 semester as semesteralias0 student_record as student_recordalias0 where student_recordalias0course_id coursealias0course_id and student_recordalias0semester semesteralias0semester_id and student_recordalias0student_id 1 ,0.7901191711425781,1,0,11613,27
select distinct coursealias0name coursealias0number semesteralias0semester semesteralias0year from course as coursealias0 course_offering as course_offeringalias0 semester as semesteralias0 where semesteralias0semester fa and semesteralias0year 2016 or semesteralias0semester fa and semesteralias0year 2017 or semesteralias0semester fa and semesteralias0year 2018 or semesteralias0semester wn and semesteralias0year 2017 or semesteralias0semester wn and semesteralias0year 2018 or semesteralias0semester wn and semesteralias0year 2019 and coursealias0course_id course_offeringalias0course_id and coursealias0department eecs and semesteralias0semester_id course_offeringalias0semester order by semesteralias0year semesteralias0semester ,13.577938079833984,1,1,163281,65
select distinct coursealias0credits from course as coursealias0 where coursealias0department eecs and coursealias0number 381 ,5.073785781860352,1,1,11453,13
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 course as coursealias1 course_prerequisite as course_prerequisitealias0 where coursealias1number 203 or coursealias1number 280 and coursealias0course_id course_prerequisitealias0pre_course_id and coursealias1course_id course_prerequisitealias0course_id and coursealias1department eecs ,0.5900859832763672,1,0,22949,30
